customer_id,customer_segment,order_count,total_spent,avg_order_value,last_purchase_date
77,,1,186.0,93.0,2018-08-26 00:00:00
99,,1,160.0,160.0,2018-08-26 00:00:00
337,,1,69.0,69.0,2018-08-24 00:00:00
515,,1,39.9,39.9,2018-08-27 00:00:00
670,,1,104.0,52.0,2018-08-24 00:00:00
823,,1,155.0,155.0,2018-08-25 00:00:00
856,,1,249.0,249.0,2018-08-25 00:00:00
1009,,1,299.0,299.0,2018-08-25 00:00:00
1030,,1,28.9,28.9,2018-08-28 00:00:00
1086,,1,49.89,49.89,2018-08-23 00:00:00
1384,,1,149.9,149.9,2018-08-28 00:00:00
1531,,1,99.0,99.0,2018-08-26 00:00:00
1716,,1,48.9,48.9,2018-08-24 00:00:00
1734,,1,45.0,45.0,2018-08-25 00:00:00
2003,,1,139.9,139.9,2018-08-23 00:00:00
2102,,1,22.6,22.6,2018-08-27 00:00:00
2291,,1,49.0,49.0,2018-08-24 00:00:00
2355,,1,99.9,99.9,2018-08-23 00:00:00
2481,,1,89.0,89.0,2018-08-25 00:00:00
2735,,1,179.9,179.9,2018-08-23 00:00:00
2863,,1,79.9,79.9,2018-08-26 00:00:00
3123,,1,169.9,169.9,2018-08-26 00:00:00
3214,,1,34.0,34.0,2018-08-27 00:00:00
3303,,1,79.0,79.0,2018-08-27 00:00:00
3413,,1,24.99,24.99,2018-08-27 00:00:00
3501,,1,29.99,29.99,2018-08-27 00:00:00
3527,,1,62.0,62.0,2018-08-27 00:00:00
3955,,1,103.0,103.0,2018-08-28 00:00:00
4093,,1,117.0,117.0,2018-08-23 00:00:00
4141,,1,39.0,39.0,2018-08-24 00:00:00
4289,,1,54.0,54.0,2018-08-24 00:00:00
4338,,1,116.5,116.5,2018-08-28 00:00:00
4400,,1,108.9,108.9,2018-08-26 00:00:00
4572,,1,142.0,142.0,2018-08-23 00:00:00
4731,,1,21.99,21.99,2018-08-27 00:00:00
5246,,1,18.9,18.9,2018-08-25 00:00:00
5638,,1,95.4,95.4,2018-08-27 00:00:00
5852,,1,14.49,14.49,2018-08-23 00:00:00
5890,,1,69.0,69.0,2018-08-28 00:00:00
5892,,1,79.9,79.9,2018-08-23 00:00:00
6879,,1,54.9,54.9,2018-08-25 00:00:00
7130,,1,36.82,36.82,2018-08-23 00:00:00
7270,,1,199.9,199.9,2018-08-23 00:00:00
7336,,1,320.0,320.0,2018-08-24 00:00:00
7628,,1,14.99,14.99,2018-08-28 00:00:00
7714,,1,179.0,179.0,2018-08-28 00:00:00
7765,,1,49.9,49.9,2018-08-27 00:00:00
8289,,1,149.9,149.9,2018-08-23 00:00:00
