Metric,Value
total_revenue,54161.520000000004
total_profit,10832.304
total_orders,485
total_customers,485
total_quantity,549
avg_order_value,111.67323711340207
avg_profit_per_order,22.334647422680412
avg_units_per_order,1.131958762886598
profit_margin,0.19999999999999998
avg_daily_revenue,9026.92
avg_daily_orders,80.83333333333333
avg_daily_customers,80.83333333333333
customer_segment_distribution,{}
repeat_purchase_rate,0.0
top_product_by_revenue,None
top_product_revenue,2300.0
return_rate,0
marketing_attributed_revenue,54161.52
marketing_revenue_percentage,0.9999999999999999
