sales_id,date_id,customer_id,product_id,order_id,payment_id,quantity,unit_price,total_price,profit,freight_value,return_id,marketing_id,date,day_of_week,month_name,quarter,year,customer_segment,product_category_name_english,order_status,payment_type,return_reason,channel,campaign_name
91,71,77,77,77,1,1,93.0,93.0,18.6,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
92,71,77,77,77,1,1,93.0,93.0,18.6,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
114,71,99,99,99,1,1,160.0,160.0,32.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
1753,71,1531,1376,1531,1,1,99.0,99.0,19.8,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
3224,71,2863,519,2863,1,1,79.9,79.9,15.980000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
3520,71,3123,2596,3123,1,1,169.9,169.9,33.980000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
4965,71,4400,420,4400,1,1,108.9,108.9,21.78,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
11392,71,10053,6815,10053,1,1,139.89,139.89,27.977999999999998,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
11694,71,10324,6947,10324,1,1,220.0,220.0,44.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
14935,71,13160,1117,13160,1,1,59.7,59.7,11.940000000000001,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
15290,71,13468,8456,13468,1,1,79.9,79.9,15.980000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
15429,71,13590,2946,13590,1,1,35.9,35.9,7.18,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
15963,71,14062,4517,14062,1,1,30.0,30.0,6.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
16439,71,14477,8932,14477,1,1,67.9,67.9,13.580000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
19792,71,17359,10231,17359,1,1,169.0,169.0,33.800000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
26489,71,23223,12660,23223,1,1,299.0,299.0,59.800000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
28122,71,24643,13241,24643,1,1,12.99,12.99,2.5980000000000003,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
30851,71,27011,14084,27011,1,1,59.0,59.0,11.8,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
31327,71,27435,1594,27435,1,1,299.99,299.99,59.998000000000005,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
32204,71,28208,14520,28208,1,1,102.0,102.0,20.400000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
34811,71,30469,15339,30469,1,1,196.8,196.8,39.36000000000001,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
35954,71,31479,15677,31479,1,1,119.0,119.0,23.8,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
37526,71,32845,16113,32845,1,1,9.99,9.99,1.9980000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
38964,71,34134,5618,34134,1,1,110.32,110.32,22.064,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
39372,71,34496,680,34496,1,1,63.99,63.99,12.798000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
43090,71,37759,2613,37759,1,1,20.9,20.9,4.18,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
43670,71,38268,9932,38268,1,1,20.0,20.0,4.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
44432,71,38929,18116,38929,1,1,22.9,22.9,4.58,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
44433,71,38929,18117,38929,1,1,19.9,19.9,3.98,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
44434,71,38929,4973,38929,1,1,7.5,7.5,1.5,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
44791,71,39242,18212,39242,1,1,25.99,25.99,5.198,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
44808,71,39259,1011,39259,1,1,1240.0,1240.0,248.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
51281,71,44978,7841,44978,1,1,96.99,96.99,19.398,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
52407,71,45959,1409,45959,1,1,74.9,74.9,14.980000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
52523,71,46064,5404,46064,1,1,15.0,15.0,3.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
53536,71,46920,20520,46920,1,1,18.63,18.63,3.726,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
53537,71,46920,20521,46920,1,1,44.9,44.9,8.98,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
55583,71,48734,21051,48734,1,1,59.9,59.9,11.98,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
57423,71,50339,3531,50339,1,1,103.9,103.9,20.78,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
58669,71,51427,2302,51427,1,1,14.9,14.9,2.9800000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
61743,71,54121,20002,54121,1,1,27.9,27.9,5.58,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
63167,71,55374,4996,55374,1,1,51.9,51.9,10.38,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
63209,71,55414,22889,55414,1,1,11.99,11.99,2.398,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
63210,71,55414,22889,55414,1,1,11.99,11.99,2.398,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
63302,71,55497,22912,55497,1,1,139.9,139.9,27.980000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
64972,71,56973,6561,56973,1,1,99.98,99.98,19.996000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
65354,71,57313,21243,57313,1,1,8.49,8.49,1.6980000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
65366,71,57322,23370,57322,1,1,20.9,20.9,4.18,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
65775,71,57677,10790,57677,1,1,149.9,149.9,29.980000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
65776,71,57677,10790,57677,1,1,149.9,149.9,29.980000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
67428,71,59154,23839,59154,1,1,220.0,220.0,44.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
68919,71,60457,940,60457,1,1,42.0,42.0,8.4,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
70918,71,62177,13051,62177,1,1,75.0,75.0,15.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
71542,71,62731,5829,62731,1,1,48.9,48.9,9.780000000000001,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
72158,71,63262,11766,63262,1,1,199.0,199.0,39.800000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
74940,71,65653,269,65653,1,1,330.0,330.0,66.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
77556,71,67959,26059,67959,1,1,29.9,29.9,5.98,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
77557,71,67959,26060,67959,1,1,31.9,31.9,6.38,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
77569,71,67969,17484,67969,1,1,89.9,89.9,17.98,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
83693,71,73376,27292,73376,1,1,17.5,17.5,3.5,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
85715,71,75146,27672,75146,1,1,76.0,76.0,15.200000000000001,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
85926,71,75324,3984,75324,1,1,69.9,69.9,13.980000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
85927,71,75324,3984,75324,1,1,69.9,69.9,13.980000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
87210,71,76463,27980,76463,1,1,13.59,13.59,2.718,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
87290,71,76530,21232,76530,1,1,38.67,38.67,7.734000000000001,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
87537,71,76755,2302,76755,1,1,14.9,14.9,2.9800000000000004,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
87631,71,76834,4858,76834,1,1,85.0,85.0,17.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
88115,71,77280,10444,77280,1,1,18.99,18.99,3.798,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
89628,71,78606,18856,78606,1,1,119.0,119.0,23.8,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
91439,71,80184,19331,80184,1,1,18.99,18.99,3.798,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
91440,71,80184,19332,80184,1,1,18.99,18.99,3.798,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
96615,71,84700,832,84700,1,1,29.9,29.9,5.98,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
98473,71,86311,13739,86311,1,1,124.95,124.95,24.990000000000002,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
98927,71,86720,507,86720,1,1,85.9,85.9,17.180000000000003,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
100323,71,87925,4858,87925,1,1,85.0,85.0,17.0,0.0,,1,2018-08-26 00:00:00,6,August,3,2018,,,Processed,Credit Card,,Online,General Marketing
